ID	人名
515	范臨
516	公武
517	任林
518	萩嚴
519	沐得
520	陳當
521	解梁
522	邴利
523	郭并
524	張詡
525	謝鳳
526	呂護
527	孫壽
528	周雅
529	張意
530	馮同
531	孫黨
532	王孝
533	鄖宣
534	段尚
535	鄒永
536	徐貴
537	李識
538	彭陽
539	郝卿
540	皇隆
541	石匡
542	陳宗
543	召浦
544	薛寄
545	梁習
546	徐歆
547	召仲
548	單宮
549	宋普
550	孟賞
551	李吳
552	王猛
553	兒政
554	董放
555	徐并
556	王翕
557	趙翕
558	胡政
559	范尊
560	蘇長
561	王禁
562	張循
563	徐嚴
564	馮晏
565	鄆詡
566	陳褒
567	杜買
568	王恭
569	秦恭
570	朱卿
571	時尚
572	成則
573	史臨
574	張博
575	趙匡
576	常卒
577	焦永
578	王鳳
579	尹便
580	張敞
581	宋萬
582	政敞
583	何憲
584	陳友
585	孫宏
586	丁宮
587	張勛
588	房岑
589	王明
590	董習
591	陳陽
592	王歆
593	郭良
594	李丹
595	孫詡
596	徐猛
597	李城
598	鄭偉
599	原憲
600	王尊
601	樂護
602	魏崇
603	薛崇
604	胡毐
605	周駿
606	梁多
607	孟倉
608	趙彭
609	張嘉
610	昌林
611	趙良
612	陳業
613	王閎
614	趙常
615	趙閎
616	范翕
617	孫良
618	尚林
619	呂良
620	良林
621	鄭孝
622	鄭慶
623	侯云
624	刑博
625	萬世
626	孫昌
627	馬病已
628	徐延壽
629	李定國
630	樊奉？
631	方子惠
632	閻少季
633	薛少卿
634	孫臨國
635	趙輔進
636	徐勝客
637	李廣宗
638	仰田殷
639	郭外人
640	□定昌
641	陳長子
642	黃子公
643	淳于樂
644	閻樂成
645	朱千秋
646	高何齊
647	孫充國
648	函何陽
649	定佐博
650	牛延壽
651	定破胡
652	張常業
653	張廣德
654	鄭昌成
655	趙蓋眾
656	郭事親
657	張奉世
658	徐充國
659	脫毋紬
660	徐當時
661	利親戀
662	祝自為
663	于定國
664	符陽己
665	范當時
666	司非子
667	解萬年
668	張未央
669	徐惠倩
670	薛幼蘭
671	王毋何
672	郭市人
673	王承明
674	周舒君
675	尹勝胡
676	商奉世
677	呂異眾
678	桃勝之
679	趙忘生
680	孟延壽
681	孔勝之
682	李壽王
683	樂勝之
684	王莫當
685	彭張成
686	蘇蓋眾
687	王赦之
688	狄望之
689	孟壽 
690	王彎年
691	張合眾
692	杜蓋之
693	魏延年
694	史承祿
695	魯儅時
