地名ID	地名	说明	隶属郡	地名类型	地名渊源	渊源类型	首现文献	设置时间	取消时间	辖县	隶属刺史
248	廣陵國										
249	泗水國										
250	東海										
251	魯國										
252	琅邪										
253	東萊										
254	膠東國										
255	高密國										
256	北海										
257	甾川國										
258	齊										
259	千乘										
260	濟南										
261	平原										
262	上黨										
263	太原										
264	雁門										
265	代										
266	定襄										
267	雲中										
268	魏										
269	趙國										
270	廣平國										
271	清河										
272	信都國										
273	河間國										
274	巨鹿										
275	真定國										
276	常山										
277	中山國										
278	東										
279	濟陰										
280	陳留										
281	淮陽國										
282	渤海										
283	涿										
284	廣陽國										
285	上穀										
286	漁陽										
287	右北平										
288	遼西										
289	遼東										
290	玄菟										
291	樂浪										
292	漢中										
293	武都										
294	廣漢										
295	蜀										
296	巴										
297	犍為										
298	越巂										
299	益州										
300	牂牁										
301	安定										
302	天水										
303	隴西										
304	城金										
305	武威										
306	張掖										
307	酒泉										
308	敦煌										
309	南陽										
310	江夏										
311	南										
312	武陵										
313	零陵										
314	桂陽										
315	九江										
316	廬江										
317	丹陽										
318	吳										
319	會稽										
320	豫章										
321	南海										
322	蒼梧										
323	合浦										
324	郁林										
325	交趾										
326	九真										
327	日南										
336	陽翟										
337	長社										
338	潁陰										
339	陽城										
340	崇高										
341	綸氏										
342	周承休										
343	成安										
344	郟縣										
345	父城										
346	潁陽										
347	襄城										
348	昆陽										
349	舞陽										
350	定陵										
351	郾縣										
352	臨潁										
353	新汲										
354	許縣										
355	鄢陵										
356	平輿										
357	南頓										
358	博陽										
359	汝陽										
360	陽城										
361	西華										
362	長平										
363	召陵										
364	定陵										
365	上蔡										
366	灈陽										
367	吳房										
368	西平										
369	陽安										
370	安昌										
371	郎陵										
372	成陽										
373	宜春										
374	安成										
375	慎陽										
376	安陽										
377	新息										
378	弋陽										
379	新蔡										
380	期思										
381	富波										
382	慎縣										
383	汝陰										
384	細陽										
385	銅陽										
386	宜祿										
387	新陽										
388	新郪										
389	項縣										
390	相縣										
391	扶陽										
392	蕭縣										
393	沛縣										
394	豐縣										
395	芒縣										
396	敬丘										
397	建平										
398	粟國										
399	祁鄉										
400	酂縣										
401	譙縣										
402	城父										
403	建成										
404	鄲縣										
405	竹縣										
406	銍縣										
407	山桑										
408	龍亢										
409	平阿										
410	下蔡										
411	向縣										
412	義成										
413	蘄縣										
414	谷陽										
415	符離										
416	虹縣										
417	夏丘										
418	廣戚										
419	睢陽										
420	蒙縣										
421	黃國										
422	甾縣										
423	已氏										
424	虞縣										
425	下邑										
426	杼秋										
427	碭縣										
428	彭城										
429	留縣										
430	武原										
431	傅陽										
432	呂縣										
433	梧縣										
434	甾丘										
435	徐縣										
436	高平										
437	僮縣										
438	取慮										
439	下相										
440	旮猶										
441	睢陵										
442	淮陵										
443	盱眙										
444	東陽										
445	高山										
446	贅其										
447	堂邑										
448	輿縣										
449	富陵										
450	淮陰										
451	淮浦										
452	射陽										
453	鹽瀆										
454	海陵										
455	廣陵										
456	江都										
457	高郵										
458	平安										
459	淩縣										
460	泗陽										
461	郯縣										
462	容丘										
463	良成										
464	下邳										
465	建陵										
466	司吾										
467	厚丘										
468	曲陽										
469	海西										
470	平曲										
471	朐縣										
472	東安										
473	祝其										
474	即丘										
475	襄賁										
476	開陽										
477	臨沂										
478	蘭陵										
479	繒縣										
480	永縣										
481	陰平										
482	建陽										
483	戚縣										
484	新陽										
485	昌慮										
486	合鄉										
487	南城										
488	費縣										
489	魯縣										
490	汶陽										
491	卞縣										
492	騶縣										
493	蕃縣										
494	薛縣										
495	東武										
496	諸縣										
497	折泉										
498	高陽										
499	廣陽										
500	柔佛巴魯										
501	魏其										
502	高鄉										
503	贛榆										
504	海曲										
505	琅邪										
506	昆山										
507	機工山										
508	箕國										
509	東莞										
510	靈門										
511	平昌										
512	梧成										
513	朱虛										
514	瓶國										
515	臨原										
516	房山										
517	姑幕										
518	祓國										
519	黔陬										
520	櫃縣										
521	不其										
522	皋虞										
523	長廣										
524	掖縣										
525	陽樂										
526	當利										
527	平度										
528	盧鄉										
529	陽石										
530	臨朐										
531	曲成										
532	徐鄉										
533	黃縣										
534	牟平										
535	育黎										
536	東牟										
537	昌陽										
538	不夜										
539	即墨										
540	鬱秩										
541	下密										
542	壯武										
543	鄒盧										
544	挺縣										
545	觀陽										
546	高密										
547	夷安										
548	昌安										
549	石泉										
550	營陵										
551	安丘										
552	平壽										
553	柳泉										
554	益縣										
555	壽光										
556	平望										
557	饒國										
558	都昌										
559	密鄉										
560	平城										
561	斟縣										
562	淳於										
563	膠陽										
564	劇縣										
565	臨淄										
566	昌國										
567	廣縣										
568	西安										
569	利縣										
570	巨定										
571	台鄉										
572	千乘										
573	狄縣										
574	東鄒										
575	建信										
576	漯沃										
577	蓼城										
578	樂安										
579	琅槐										
580	博昌										
581	被陽										
582	高苑										
583	東平陵										
584	台縣										
585	曆城										
586	著縣										
587	宜城										
588	朝陽										
589	梁鄒										
590	陽丘										
591	土鼓										
592	於陵										
593	般陽										
594	鄒平										
595	平原										
596	高唐										
597	陽阿										
598	羽國										
599	瑗縣										
600	楊虛										
601	龍額										
602	祝阿										
603	漯陰										
604	安德										
605	重丘										
606	鬲縣										
607	安陵										
608	般縣										
609	平昌										
610	朸縣										
611	富平										
612	樂陵										
613	長子										
614	屯留										
615	壺關										
616	泫氏										
617	高都										
618	陽阿										
619	穀遠										
620	銅鞮										
621	餘吾										
622	襄垣										
623	潞縣										
624	沾縣										
625	涅縣										
626	晉陽										
627	榆次										
628	陽邑										
629	上艾										
630	祁縣										
631	京陵										
632	中都										
633	鄔縣										
634	界休										
635	茲氏										
636	平陶										
637	大陵										
638	狼孟										
639	盂縣										
640	陽曲										
641	慮虒										
642	葰人										
643	廣武										
644	善無										
645	武州										
646	中陵										
647	馬邑										
648	埒縣										
649	樓煩										
650	陰館										
651	汪陶										
652	劇陽										
653	繁畤										
654	崞縣										
655	強陰										
656	活陽										
657	平城										
658	代縣										
659	當城										
660	桑幹										
661	陽原										
662	 氏										
663	平舒										
664	靈丘										
665	廣昌										
666	鹵城										
667	班氏										
668	平邑										
669	道人										
670	參合										
671	高柳										
672	延陵										
673	馬城										
674	且如										
675	東安陽										
676	成樂										
677	武進										
678	琥城										
679	駱縣										
680	桐過										
681	定襄										
682	安陶										
683	武要										
684	武皋										
685	雲中										
686	沙陵										
687	陽壽										
688	沙南										
689	楨陵										
690	咸陽										
691	犢和										
692	原陽										
693	武泉										
694	北輿										
695	陶林										
696	冀州刺史部										
697	鄴縣										
698	梁期										
699	武始										
700	武安										
701	涉縣										
702	邯雲										
703	即裴										
704	斥丘										
705	平恩										
706	清淵										
707	館陶										
708	元城										
709	魏縣										
710	陰安										
711	繁陽										
712	內黃										
713	黎陽										
714	邯溝										
715	邯鄲										
716	易陽										
717	襄國										
718	柏人										
719	廣平										
720	曲周										
721	南曲										
722	斥章										
723	列人										
724	曲梁										
725	廣年										
726	南和										
727	朝平										
728	平鄉										
729	任縣										
730	張縣										
731	廣鄉										
732	清陽										
733	信成										
734	繚縣										
735	棗強										
736	複陽										
737	東武城										
738	東陽										
739	繹幕										
740	隃縣										
741	靈縣										
742	信鄉										
743	厝縣										
744	貝丘										
745	信都										
746	辟陽										
747	廣川										
748	曆縣										
749	修縣										
750	高堤										
751	觀津										
752	武邑										
753	東昌										
754	下博										
755	樂鄉										
756	桃國										
757	扶柳										
758	昌成										
759	西梁										
760	南宮										
761	樂成										
762	侯井										
763	弓張										
764	武隧										
765	巨鹿										
766	新市										
767	廣阿										
768	象氏										
769	柏鄉										
770	廮陶										
771	楊氏										
772	曆鄉										
773	堂陽										
774	貰縣										
775	敬武										
776	宋子										
777	臨平										
778	安鄉										
779	安定										
780	樂信										
781	深澤										
782	下曲陽										
783	真定										
784	稿城										
785	肥累										
786	綿曼										
787	元氏										
788	石邑										
789	關縣										
790	封期										
791	平棘										
792	鄗縣										
793	房子										
794	中丘										
795	桑中										
796	井陘										
797	蒲吾										
798	樂陽										
799	靈壽										
800	上曲陽										
801	南行唐										
802	九門										
803	盧奴										
804	安險										
805	陸成										
806	安國										
807	苦陘										
808	毋極										
809	新處										
810	望都										
811	唐縣										
812	曲逆										
813	北平										
814	北新城										
815	兗州刺史部										
816	濮陽										
817	白馬										
818	燕縣										
819	離瓜										
820	頓丘										
821	觀縣										
822	樂昌										
823	東武陽										
824	陽平										
825	清縣										
826	發幹										
827	聊城										
828	博平										
829	臨邑										
830	東阿										
831	須昌										
832	壽良										
833	範縣										
834	廩丘										
835	黎縣										
836	定陶										
837	乘氏										
838	成陽										
839	句陽										
840	葭密										
841	呂都										
842	冤句										
843	鄄城										
844	陳留										
845	浚儀										
846	小黃										
847	封丘										
848	酸棗										
849	長垣										
850	長羅										
851	濟陽										
852	東										
853	外黃										
854	成安										
855	雍丘										
856	尉氏										
857	襄邑										
858	寧陵										
859	傿縣										
860	平丘										
861	浮陽										
862	中邑										
863	章武										
864	柳國										
865	陽信										
866	高成										
867	定國										
868	童鄉										
869	千童										
870	重合										
871	重平										
872	高樂										
873	東光										
874	阜城										
875	修市										
876	南皮										
877	景成										
878	參戶										
879	束州										
880	東平舒										
